xmlElement,code,conceptURI
,OP_DATPRO,http://publications.europa.eu/resource/authority/buyer-legal-type/OP_DATPRO
NATIONAL_AGENCY,body-pl,http://publications.europa.eu/resource/authority/buyer-legal-type/body-pl
REGIONAL_AGENCY,body-pl,http://publications.europa.eu/resource/authority/buyer-legal-type/body-pl
BODY_PUBLIC,body-pl,http://publications.europa.eu/resource/authority/buyer-legal-type/body-pl
,body-pl-cga,http://publications.europa.eu/resource/authority/buyer-legal-type/body-pl-cga
,body-pl-la,http://publications.europa.eu/resource/authority/buyer-legal-type/body-pl-la
,body-pl-ra,http://publications.europa.eu/resource/authority/buyer-legal-type/body-pl-ra
MINISTRY,cga,http://publications.europa.eu/resource/authority/buyer-legal-type/cga
,def-cont,http://publications.europa.eu/resource/authority/buyer-legal-type/def-cont
,eu-ins-bod-ag,http://publications.europa.eu/resource/authority/buyer-legal-type/eu-ins-bod-ag
,int-org,http://publications.europa.eu/resource/authority/buyer-legal-type/int-org
,la,http://publications.europa.eu/resource/authority/buyer-legal-type/la
,org-sub,http://publications.europa.eu/resource/authority/buyer-legal-type/org-sub
,org-sub-cga,http://publications.europa.eu/resource/authority/buyer-legal-type/org-sub-cga
,org-sub-la,http://publications.europa.eu/resource/authority/buyer-legal-type/org-sub-la
,org-sub-ra,http://publications.europa.eu/resource/authority/buyer-legal-type/org-sub-ra
,pub-undert,http://publications.europa.eu/resource/authority/buyer-legal-type/pub-undert
,pub-undert-cga,http://publications.europa.eu/resource/authority/buyer-legal-type/pub-undert-cga
,pub-undert-la,http://publications.europa.eu/resource/authority/buyer-legal-type/pub-undert-la
,pub-undert-ra,http://publications.europa.eu/resource/authority/buyer-legal-type/pub-undert-ra
,ra,http://publications.europa.eu/resource/authority/buyer-legal-type/ra
,spec-rights-entity,http://publications.europa.eu/resource/authority/buyer-legal-type/spec-rights-entity
EU_INSTITUTION,eu-int-org,http://publications.europa.eu/resource/authority/buyer-legal-type/eu-int-org
REGIONAL_AUTHORITY,rl-aut,http://publications.europa.eu/resource/authority/buyer-legal-type/rl-aut
,grp-p-aut,http://publications.europa.eu/resource/authority/buyer-legal-type/grp-p-aut
