xmlElement,code,conceptURI
,OP_DATPRO,http://publications.europa.eu/resource/authority/main-activity/OP_DATPRO
AIRPORT_RELATED_ACTIVITIES,airport,http://publications.europa.eu/resource/authority/main-activity/airport
DEFENCE,defence,http://publications.europa.eu/resource/authority/main-activity/defence
ECONOMIC_AND_FINANCIAL_AFFAIRS,econ-aff,http://publications.europa.eu/resource/authority/main-activity/econ-aff
EDUCATION,education,http://publications.europa.eu/resource/authority/main-activity/education
ELECTRICITY,electricity,http://publications.europa.eu/resource/authority/main-activity/electricity
ENVIRONMENT,env-pro,http://publications.europa.eu/resource/authority/main-activity/env-pro
PRODUCTION_TRANSPORT_DISTRIBUTION_GAS_HEAT,gas-heat,http://publications.europa.eu/resource/authority/main-activity/gas-heat
EXPLORATION_EXTRACTION_GAS_OIL,gas-oil,http://publications.europa.eu/resource/authority/main-activity/gas-oil
GENERAL_PUBLIC_SERVICES,gen-pub,http://publications.europa.eu/resource/authority/main-activity/gen-pub
HOUSING_AND_COMMUNITY_AMENITIES,hc-am,http://publications.europa.eu/resource/authority/main-activity/hc-am
HEALTH,health,http://publications.europa.eu/resource/authority/main-activity/health
PORT_RELATED_ACTIVITIES,port,http://publications.europa.eu/resource/authority/main-activity/port
POSTAL_SERVICES,post,http://publications.europa.eu/resource/authority/main-activity/post
PUBLIC_ORDER_AND_SAFETY,pub-os,http://publications.europa.eu/resource/authority/main-activity/pub-os
RAILWAY_SERVICES,rail,http://publications.europa.eu/resource/authority/main-activity/rail
RECREATION_CULTURE_AND_RELIGION,rcr,http://publications.europa.eu/resource/authority/main-activity/rcr
SOCIAL_PROTECTION,soc-pro,http://publications.europa.eu/resource/authority/main-activity/soc-pro
EXPLORATION_EXTRACTION_COAL_OTHER_SOLID_FUEL,solid-fuel,http://publications.europa.eu/resource/authority/main-activity/solid-fuel
URBAN_RAILWAY_TRAMWAY_TROLLEYBUS_BUS_SERVICES,urttb,http://publications.europa.eu/resource/authority/main-activity/urttb
WATER,water,http://publications.europa.eu/resource/authority/main-activity/water
,,
Legend:,,
CA_ACTIVITY,,
CE_ACTIVITY,,
