form_type,eform_notice_type,eform_legal_basis,eforms_subtype
planning,pin-buyer,32014L0024,1
planning,pin-buyer,32014L0025,2
planning,pin-buyer,32009L0081,3
planning,pin-only,32014L0024,4
planning,pin-only,32014L0024,4.1
planning,pin-only,32014L0025,5
planning,pin-only,32014L0025,5.1
planning,pin-only,32009L0081,6
planning,pin-rtl,32014L0024,7
planning,pin-rtl,32014L0025,8
planning,pin-rtl,32009L0081,9
competition,pin-cfc-standard,32014L0024,10
competition,pin-cfc-standard,32014L0025,11
competition,pin-cfc-social,32014L0024,12
competition,pin-cfc-social,32014L0025,13
competition,pin-cfc-social,32014L0023,14
competition,qu-sy,32014L0025,15
competition,qu-sy,32014L0025,15.1
competition,cn-standard,32014L0024,16
competition,cn-standard,32014L0025,17
competition,cn-standard,32009L0081,18
competition,cn-standard,32014L0023,19
competition,cn-social,32014L0024,20
competition,cn-social,32014L0025,21
competition,subco,32009L0081,22
competition,cn-desg,32014L0024,23
competition,cn-desg,32014L0025,24
dir-awa-pre,veat,32014L0024,25
dir-awa-pre,veat,32014L0025,26
dir-awa-pre,veat,32009L0081,27
dir-awa-pre,veat,32014L0023,28
result,can-standard,32014L0024,29
result,can-standard,32014L0025,30
result,can-standard,32009L0081,31
result,can-standard,32014L0023,32
result,can-social,32014L0024,33
result,can-social,32014L0025,34
result,can-social,32014L0023,35
result,can-desg,32014L0024,36
result,can-desg,32014L0025,37
cont-modif,can-modif,32014L0024,38
cont-modif,can-modif,32014L0025,39
cont-modif,can-modif,32014L0023,40
planning,pin-tran,32007R1370,T01
result,can-tran,32007R1370,T02
competition,pin-cfc-standard,32024R2509,CEI
consultation,pmc,other,E1
planning,pin-only,other,E2
competition,cn-standard,other,E3
result,can-standard,other,E4
completion,compl,other,E5
cont-modif,can-modif,32009L0081,E6
