form_number,sf_notice_type,legal_basis,document_code,eforms_subtype
F01,PRI_CALL_COMPETITION,,,10
F01,PRI_ONLY,,,4.1
F01,PRI_REDUCING_TIME_LIMITS,,,7
F02,,,,16
F03,,,,29
F04,PER_CALL_COMPETITION,,,11
F04,PER_ONLY,,,5.1
F04,PER_REDUCING_TIME_LIMITS,,,8
F05,,,,17
F06,,,,30
F07,,,,15.1
F08,,32009L0081,,3
F08,,32014L0024,,1
F08,,32014L0025,,2
F12,,32014L0024,,23
F12,,32014L0025,,24
F13,,32014L0024,,36
F13,,32014L0025,,37
F15,,32009L0081,,27
F15,,32014L0023,,28
F15,,32014L0024,,25
F15,,32014L0025,,26
F16,,,,6
F17,,,,18
F18,,,,31
F19,,,,22
F20,,32004L0017,,39
F20,,32004L0018,,38
F20,,32014L0023,,40
F20,,32014L0024,,38
F20,,32014L0025,,39
F20,,32018R1046,,38
F21,AWARD_CONTRACT,,,33
F21,CONTRACT,,,20
F21,PRI_ONLY,,,4
F21,PRI_CALL_COMPETITION,,,12
F22,AWARD_CONTRACT,,,34
F22,CONTRACT,,,21
F22,PER_CALL_COMPETITION,,,13
F22,PER_ONLY,,,5
F22,QSU_ONLY,,,15
F23,PRI,,,14
F23,CONCESSION_AWARD_CONTRACT,,,35
F24,,,,19
F25,,,,32
T01,,32007R1370,,T01
T02,,32007R1370,,T02
